accuracy,loss,val_accuracy,val_loss,learning_rate
0.13375000655651093,3.0282320976257324,0.14499999582767487,2.0083892345428467,0.0010000000474974513
0.13875000178813934,2.80488657951355,0.14499999582767487,2.086806297302246,0.0010000000474974513
0.15125000476837158,2.669700860977173,0.14499999582767487,2.1706855297088623,0.0010000000474974513
0.1537500023841858,2.5497491359710693,0.15000000596046448,2.261482000350952,0.0010000000474974513
0.13375000655651093,2.6211349964141846,0.15000000596046448,2.7735769748687744,0.0010000000474974513
0.1287499964237213,2.5512266159057617,0.15000000596046448,3.3252053260803223,0.0010000000474974513
0.17249999940395355,2.405914306640625,0.15000000596046448,3.693692684173584,0.0005000000237487257
0.16124999523162842,2.4828579425811768,0.15000000596046448,4.176154613494873,0.0005000000237487257
0.16500000655651093,2.3900482654571533,0.15000000596046448,4.266451835632324,0.0005000000237487257
0.14624999463558197,2.402452230453491,0.15000000596046448,4.623897075653076,0.0005000000237487257
0.14875000715255737,2.428906202316284,0.15000000596046448,5.237960338592529,0.0005000000237487257
